,pipe,strat,deriv,file_id,remote_filename,exists
0,ccs,filt_global,alff,NYU_0051030,https://s3.amazonaws.com/fcp-indi/data/Projects/ABIDE_Initiative/Outputs/ccs/filt_global/alff/NYU_0051030_alff.nii.gz,True
1,ccs,filt_global,alff,NYU_0051033,https://s3.amazonaws.com/fcp-indi/data/Projects/ABIDE_Initiative/Outputs/ccs/filt_global/alff/NYU_0051033_alff.nii.gz,True
2,ccs,filt_global,alff,NYU_0051032,https://s3.amazonaws.com/fcp-indi/data/Projects/ABIDE_Initiative/Outputs/ccs/filt_global/alff/NYU_0051032_alff.nii.gz,True
3,ccs,filt_global,alff,Pitt_0050038,https://s3.amazonaws.com/fcp-indi/data/Projects/ABIDE_Initiative/Outputs/ccs/filt_global/alff/Pitt_0050038_alff.nii.gz,True
4,ccs,filt_global,alff,Pitt_0050039,https://s3.amazonaws.com/fcp-indi/data/Projects/ABIDE_Initiative/Outputs/ccs/filt_global/alff/Pitt_0050039_alff.nii.gz,True
5,ccs,filt_global,alff,NYU_0051036,https://s3.amazonaws.com/fcp-indi/data/Projects/ABIDE_Initiative/Outputs/ccs/filt_global/alff/NYU_0051036_alff.nii.gz,True
6,ccs,filt_global,alff,Pitt_0050034,https://s3.amazonaws.com/fcp-indi/data/Projects/ABIDE_Initiative/Outputs/ccs/filt_global/alff/Pitt_0050034_alff.nii.gz,True
7,ccs,filt_global,alff,Pitt_0050035,https://s3.amazonaws.com/fcp-indi/data/Projects/ABIDE_Initiative/Outputs/ccs/filt_global/alff/Pitt_0050035_alff.nii.gz,True
8,ccs,filt_global,alff,Pitt_0050036,https://s3.amazonaws.com/fcp-indi/data/Projects/ABIDE_Initiative/Outputs/ccs/filt_global/alff/Pitt_0050036_alff.nii.gz,True
9,ccs,filt_global,alff,Pitt_0050037,https://s3.amazonaws.com/fcp-indi/data/Projects/ABIDE_Initiative/Outputs/ccs/filt_global/alff/Pitt_0050037_alff.nii.gz,True
10,ccs,filt_global,alff,Pitt_0050030,https://s3.amazonaws.com/fcp-indi/data/Projects/ABIDE_Initiative/Outputs/ccs/filt_global/alff/Pitt_0050030_alff.nii.gz,True
11,ccs,filt_global,alff,Pitt_0050031,https://s3.amazonaws.com/fcp-indi/data/Projects/ABIDE_Initiative/Outputs/ccs/filt_global/alff/Pitt_0050031_alff.nii.gz,True
12,ccs,filt_global,alff,Pitt_0050032,https://s3.amazonaws.com/fcp-indi/data/Projects/ABIDE_Initiative/Outputs/ccs/filt_global/alff/Pitt_0050032_alff.nii.gz,True
13,ccs,filt_global,alff,Pitt_0050033,https://s3.amazonaws.com/fcp-indi/data/Projects/ABIDE_Initiative/Outputs/ccs/filt_global/alff/Pitt_0050033_alff.nii.gz,True
14,ccs,filt_global,alff,Caltech_0051476,https://s3.amazonaws.com/fcp-indi/data/Projects/ABIDE_Initiative/Outputs/ccs/filt_global/alff/Caltech_0051476_alff.nii.gz,True
15,ccs,filt_global,alff,NYU_0051035,https://s3.amazonaws.com/fcp-indi/data/Projects/ABIDE_Initiative/Outputs/ccs/filt_global/alff/NYU_0051035_alff.nii.gz,True
16,ccs,filt_global,alff,NYU_0051034,https://s3.amazonaws.com/fcp-indi/data/Projects/ABIDE_Initiative/Outputs/ccs/filt_global/alff/NYU_0051034_alff.nii.gz,True
17,ccs,filt_global,alff,MaxMun_c_0051335,https://s3.amazonaws.com/fcp-indi/data/Projects/ABIDE_Initiative/Outputs/ccs/filt_global/alff/MaxMun_c_0051335_alff.nii.gz,True
18,ccs,filt_global,alff,Caltech_0051493,https://s3.amazonaws.com/fcp-indi/data/Projects/ABIDE_Initiative/Outputs/ccs/filt_global/alff/Caltech_0051493_alff.nii.gz,True
19,ccs,filt_global,alff,Pitt_0050049,https://s3.amazonaws.com/fcp-indi/data/Projects/ABIDE_Initiative/Outputs/ccs/filt_global/alff/Pitt_0050049_alff.nii.gz,True
20,ccs,filt_global,alff,Pitt_0050048,https://s3.amazonaws.com/fcp-indi/data/Projects/ABIDE_Initiative/Outputs/ccs/filt_global/alff/Pitt_0050048_alff.nii.gz,True
21,ccs,filt_global,alff,UCLA_1_0051240,https://s3.amazonaws.com/fcp-indi/data/Projects/ABIDE_Initiative/Outputs/ccs/filt_global/alff/UCLA_1_0051240_alff.nii.gz,True
22,ccs,filt_global,alff,UCLA_1_0051241,https://s3.amazonaws.com/fcp-indi/data/Projects/ABIDE_Initiative/Outputs/ccs/filt_global/alff/UCLA_1_0051241_alff.nii.gz,True
23,ccs,filt_global,alff,NYU_0051038,https://s3.amazonaws.com/fcp-indi/data/Projects/ABIDE_Initiative/Outputs/ccs/filt_global/alff/NYU_0051038_alff.nii.gz,True
24,ccs,filt_global,alff,Pitt_0050041,https://s3.amazonaws.com/fcp-indi/data/Projects/ABIDE_Initiative/Outputs/ccs/filt_global/alff/Pitt_0050041_alff.nii.gz,True
25,ccs,filt_global,alff,Pitt_0050040,https://s3.amazonaws.com/fcp-indi/data/Projects/ABIDE_Initiative/Outputs/ccs/filt_global/alff/Pitt_0050040_alff.nii.gz,True
26,ccs,filt_global,alff,Pitt_0050043,https://s3.amazonaws.com/fcp-indi/data/Projects/ABIDE_Initiative/Outputs/ccs/filt_global/alff/Pitt_0050043_alff.nii.gz,True
